result;epochs;subset;metric;model;dataset;augmentation
0.3582288730089509;23;train;loss;AlexNet;Ramas224Binary;true
0.35709602887174646;24;train;loss;AlexNet;Ramas224Binary;true
0.4718279540538788;1;valid;loss;AlexNet;Ramas224Binary;true
0.45913020704613355;2;valid;loss;AlexNet;Ramas224Binary;true
0.46349224887910434;3;valid;loss;AlexNet;Ramas224Binary;true
0.4376816822857153;4;valid;loss;AlexNet;Ramas224Binary;true
0.438780776789931;5;valid;loss;AlexNet;Ramas224Binary;true
0.427520854551284;6;valid;loss;AlexNet;Ramas224Binary;true
0.42007046693661176;7;valid;loss;AlexNet;Ramas224Binary;true
0.4130557086624083;8;valid;loss;AlexNet;Ramas224Binary;true
0.4110328799388448;9;valid;loss;AlexNet;Ramas224Binary;true
0.4057373155335911;10;valid;loss;AlexNet;Ramas224Binary;true
0.40173805785960837;11;valid;loss;AlexNet;Ramas224Binary;true
0.39708086701690176;12;valid;loss;AlexNet;Ramas224Binary;true
0.40034451005888766;13;valid;loss;AlexNet;Ramas224Binary;true
0.4014308638260013;14;valid;loss;AlexNet;Ramas224Binary;true
0.39977170209415624;15;valid;loss;AlexNet;Ramas224Binary;true
0.3919438578066279;16;valid;loss;AlexNet;Ramas224Binary;true
0.3864056526637468;17;valid;loss;AlexNet;Ramas224Binary;true
0.3997753555657434;18;valid;loss;AlexNet;Ramas224Binary;true
0.39956604750429997;19;valid;loss;AlexNet;Ramas224Binary;true
0.38441594946579855;20;valid;loss;AlexNet;Ramas224Binary;true
